"event","event_label","date_value_7","date_value_4","diocese_11","diocese_11_label","province","province_label","map_15","place_13","place_13_label","place_17","place_17_label","map_19","type_labels"
"https://g17.dhi-roma.it/resources/event_7157","APOSTOLIC PROVISION 7157","1678-05-16","1678-08-13","https://g17.dhi-roma.it/resources/institution_183","Cerviensis","https://g17.dhi-roma.it/resources/institution_891","Bologna","POINT (12.366666666667 44.25)","https://g17.dhi-roma.it/resources/place_177","Cervia","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Canonship and prebend,church"
"https://g17.dhi-roma.it/resources/event_3691","APOSTOLIC PROVISION 3691","1676-04-07","1678-07-07","https://g17.dhi-roma.it/resources/institution_223","Cremonensis","https://g17.dhi-roma.it/resources/institution_838","Milano","POINT (10.024722222222222 45.13333333333333)","https://g17.dhi-roma.it/resources/place_216","Cremona","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,Referral to a higher authority,death of previous holder,Parish Church,church,Holder of a benefice"
"https://g17.dhi-roma.it/resources/event_5482","APOSTOLIC PROVISION 5482","1621-07-16","1622-04-08","https://g17.dhi-roma.it/resources/institution_608","Vallisolitana","https://g17.dhi-roma.it/resources/institution_871","Toledo","POINT (-4.7285611111111 41.651980555556)","https://g17.dhi-roma.it/resources/place_592","Valladolid","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,church"
"https://g17.dhi-roma.it/resources/event_6044","APOSTOLIC PROVISION 6044","1622-05-16","1622-07-18","https://g17.dhi-roma.it/resources/institution_275","Gandavensis","https://g17.dhi-roma.it/resources/institution_1006","Mechelen-Bruxelles","POINT (3.725277777777778 51.05361111111111)","https://g17.dhi-roma.it/resources/place_266","Ghent","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Canonship and prebend,church,Collegiate church"
"https://g17.dhi-roma.it/resources/event_4466","APOSTOLIC PROVISION 4466","1622-10-16","1623-01-13","https://g17.dhi-roma.it/resources/institution_566","Tirasonensis","https://g17.dhi-roma.it/resources/institution_869","Zaragoza","POINT (-1.7225 41.904444444444)","https://g17.dhi-roma.it/resources/place_553","Tarazona","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Holder of a benefice,Holder of a portion,church"
"https://g17.dhi-roma.it/resources/event_4691","APOSTOLIC PROVISION 4691","1622-11-15","1623-02-10","https://g17.dhi-roma.it/resources/institution_259","Feruntina","https://g17.dhi-roma.it/resources/institution_877","Exempt Diocese","POINT (13.25 41.683333333333)","https://g17.dhi-roma.it/resources/place_250","Ferentino","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,church,Holder of a benefice"
"https://g17.dhi-roma.it/resources/event_6111","APOSTOLIC PROVISION 6111","1622-04-15","1622-07-27","https://g17.dhi-roma.it/resources/institution_556","Tarvisina","https://g17.dhi-roma.it/resources/institution_839","Aquileia","POINT (12.242219444444 45.672219444444)","https://g17.dhi-roma.it/resources/place_544","Treviso","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Rectorship"
"https://g17.dhi-roma.it/resources/event_6020","APOSTOLIC PROVISION 6020","1622-02-14","1622-06-18","https://g17.dhi-roma.it/resources/institution_356","Marianensis","https://g17.dhi-roma.it/resources/institution_877","Exempt Diocese","POINT (10.48789405 45.18583845)","https://g17.dhi-roma.it/resources/place_348","Mariana Mantovana","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Rectorship"
"https://g17.dhi-roma.it/resources/event_2481","APOSTOLIC PROVISION 2481","1622-11-15","1622-12-12","https://g17.dhi-roma.it/resources/institution_705","Montis Pelusii","https://g17.dhi-roma.it/resources/institution_877","Exempt Diocese","POINT (16.233333333333 40.75)","https://g17.dhi-roma.it/resources/place_388","Irsina","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Canonship and prebend,church"
"https://g17.dhi-roma.it/resources/event_7591","APOSTOLIC PROVISION 7591","1621-03-16","1622-02-16","https://g17.dhi-roma.it/resources/institution_224","Cretensis","https://g17.dhi-roma.it/resources/institution_964","Constantinople","POINT (24.676421 43.599674)","https://g17.dhi-roma.it/resources/place_217","Kreta","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,Reservation of a pension,Canonship and prebend,church"
"https://g17.dhi-roma.it/resources/event_7571","APOSTOLIC PROVISION 7571","1622-04-15","1622-12-01","https://g17.dhi-roma.it/resources/institution_375","Messanensis","https://g17.dhi-roma.it/resources/institution_859","Messina","POINT (15.554166666666667 38.19361111111111)","https://g17.dhi-roma.it/resources/place_367","Messina","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Heir"
"https://g17.dhi-roma.it/resources/event_7846","APOSTOLIC PROVISION 7846","1622-05-16","1622-07-07","https://g17.dhi-roma.it/resources/institution_372","Melphiensis","https://g17.dhi-roma.it/resources/institution_877","Exempt Diocese","POINT (15.655833333333 40.996388888889)","https://g17.dhi-roma.it/resources/place_364","Melfi","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Heir"
"https://g17.dhi-roma.it/resources/event_2344","APOSTOLIC PROVISION 2344","1622-07-16","1622-10-27","https://g17.dhi-roma.it/resources/institution_458","Pisaurensis","https://g17.dhi-roma.it/resources/institution_877","Exempt Diocese","POINT (12.9133 43.91015)","https://g17.dhi-roma.it/resources/place_449","Pesaro","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Rectorship,Parish Church,church"
"https://g17.dhi-roma.it/resources/event_493","APOSTOLIC PROVISION 493","1622-07-16","1622-10-01","https://g17.dhi-roma.it/resources/institution_231","Cusentina","https://g17.dhi-roma.it/resources/institution_856","Cosenza","POINT (16.25 39.3)","https://g17.dhi-roma.it/resources/place_223","Cosenza","https://g17.dhi-roma.it/resources/place_578","Tusculum","POINT (12.710833333333 41.798333333333)","apostolic provision,papal grace,death of previous holder"
"https://g17.dhi-roma.it/resources/event_5997","APOSTOLIC PROVISION 5997","1622-05-16","1622-07-07","https://g17.dhi-roma.it/resources/institution_197","Clusinensis","https://g17.dhi-roma.it/resources/institution_845","Siena","POINT (11.95 43.016666666667)","https://g17.dhi-roma.it/resources/place_190","Chiusi","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Canonship and prebend,church"
"https://g17.dhi-roma.it/resources/event_5649","APOSTOLIC PROVISION 5649","1622-04-15","1622-05-27","https://g17.dhi-roma.it/resources/institution_401","Mutinensis","https://g17.dhi-roma.it/resources/institution_841","Ravenna","POINT (10.92572 44.64582)","https://g17.dhi-roma.it/resources/place_393","Modena","https://g17.dhi-roma.it/resources/place_578","Tusculum","POINT (12.710833333333 41.798333333333)","apostolic provision,papal grace,death of previous holder,Provostship,Parish Church,church"
"https://g17.dhi-roma.it/resources/event_5896","APOSTOLIC PROVISION 5896","1622-05-16","1622-06-22","https://g17.dhi-roma.it/resources/institution_215","Cordubensis","https://g17.dhi-roma.it/resources/institution_871","Toledo","POINT (-4.7666666666667 37.883333333333)","https://g17.dhi-roma.it/resources/place_209","Córdoba","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Parish Church,church,Holder of a benefice"
"https://g17.dhi-roma.it/resources/event_7125","APOSTOLIC PROVISION 7125","1667-07-21","1678-07-21","https://g17.dhi-roma.it/resources/institution_142","Caietana","https://g17.dhi-roma.it/resources/institution_877","Exempt Diocese","POINT (13.566666666667 41.216666666667)","https://g17.dhi-roma.it/resources/place_137","Gaeta","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,Referral to a higher authority,death of previous holder,church,Holder of a benefice"
"https://g17.dhi-roma.it/resources/event_7449","APOSTOLIC PROVISION 7449","1678-08-30","1678-08-30","https://g17.dhi-roma.it/resources/institution_698","Oristano","https://g17.dhi-roma.it/resources/institution_868","Oristano (Sardinia)","POINT (8.591609 39.9058188)","https://g17.dhi-roma.it/resources/place_667","Oristano","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","deceased in Rome,apostolic provision,papal grace,death of previous holder,Heir"
"https://g17.dhi-roma.it/resources/event_6325","APOSTOLIC PROVISION 6325","1622-07-16","1622-08-26","https://g17.dhi-roma.it/resources/institution_72","Ariminensis","https://g17.dhi-roma.it/resources/institution_841","Ravenna","POINT (12.568333333333 44.059444444444)","https://g17.dhi-roma.it/resources/place_68","Rimini","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Rectorship"
"https://g17.dhi-roma.it/resources/event_4043","APOSTOLIC PROVISION 4043","1596-08-19","1622-02-18","https://g17.dhi-roma.it/resources/institution_246","Elnensis","https://g17.dhi-roma.it/resources/institution_832","Narbonne","POINT (2.9711111111111 42.600277777778)","https://g17.dhi-roma.it/resources/place_237","Elne","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,Rectorship"
"https://g17.dhi-roma.it/resources/event_3269","APOSTOLIC PROVISION 3269","1676-11-15","1677-11-06","https://g17.dhi-roma.it/resources/institution_625","Veronensis","https://g17.dhi-roma.it/resources/institution_839","Aquileia","POINT (10.992777777777778 45.43861111111111)","https://g17.dhi-roma.it/resources/place_608","Verona","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Archpriest,Parish Church,church"
"https://g17.dhi-roma.it/resources/event_7312","APOSTOLIC PROVISION 7312","1678-05-16","1678-09-30","https://g17.dhi-roma.it/resources/institution_450","Pennensis","https://g17.dhi-roma.it/resources/institution_877","Exempt Diocese","POINT (13.916666666667 42.45)","https://g17.dhi-roma.it/resources/place_442","Penne","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Archpriest,Parish Church,church"
"https://g17.dhi-roma.it/resources/event_8123","APOSTOLIC PROVISION 8123","1678-05-16","1678-07-16","https://g17.dhi-roma.it/resources/institution_511","Sancti Angeli et Bisaciensis","https://g17.dhi-roma.it/resources/institution_853","Conza","POINT (15.375555555556 41.013055555556)","https://g17.dhi-roma.it/resources/place_501","Bisaccia","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Rectorship"
"https://g17.dhi-roma.it/resources/event_3227","APOSTOLIC PROVISION 3227","1678-05-16","1678-10-03","https://g17.dhi-roma.it/resources/institution_15","Abulensis","https://g17.dhi-roma.it/resources/institution_874","Santiago","POINT (-4.6962222222222 40.654347222222)","https://g17.dhi-roma.it/resources/place_11","Ávila","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Rectorship"
"https://g17.dhi-roma.it/resources/event_637","APOSTOLIC PROVISION 637","1622-08-14","1622-08-25","https://g17.dhi-roma.it/resources/institution_101","Basiliensis","https://g17.dhi-roma.it/resources/institution_807","Mainz","POINT (7.5905555555556 47.560555555556)","https://g17.dhi-roma.it/resources/place_97","Basel","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","deceased in Rome,apostolic provision,papal grace,death of previous holder,Canonship and prebend,church,Collegiate church"
"https://g17.dhi-roma.it/resources/event_188","APOSTOLIC PROVISION 188","1622-10-16","1622-11-28","https://g17.dhi-roma.it/resources/institution_625","Veronensis","https://g17.dhi-roma.it/resources/institution_839","Aquileia","POINT (10.992777777777778 45.43861111111111)","https://g17.dhi-roma.it/resources/place_608","Verona","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Without care of souls,church,Holder of a benefice in a church"
"https://g17.dhi-roma.it/resources/event_462","APOSTOLIC PROVISION 462","1622-08-16","1622-10-01","https://g17.dhi-roma.it/resources/institution_107","Beneventana","https://g17.dhi-roma.it/resources/institution_847","Benevento","POINT (14.783333333333 41.133333333333)","https://g17.dhi-roma.it/resources/place_103","Benevento","https://g17.dhi-roma.it/resources/place_578","Tusculum","POINT (12.710833333333 41.798333333333)","apostolic provision,papal grace,death of previous holder,church,Holder of a benefice"
"https://g17.dhi-roma.it/resources/event_7817","APOSTOLIC PROVISION 7817","1622-04-15","1622-06-20","https://g17.dhi-roma.it/resources/institution_350","Lunensarzanen","https://g17.dhi-roma.it/resources/institution_840","Genova","POINT (9.9599583333333 44.113608333333)","https://g17.dhi-roma.it/resources/place_342","Sarzana","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Holder of a benefice"
"https://g17.dhi-roma.it/resources/event_5902","APOSTOLIC PROVISION 5902","1622-04-15","1622-06-23","https://g17.dhi-roma.it/resources/institution_419","Nolana","https://g17.dhi-roma.it/resources/institution_849","Napoli","POINT (14.533333333333 40.933333333333)","https://g17.dhi-roma.it/resources/place_412","Nola","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,church,Collegiate church"
"https://g17.dhi-roma.it/resources/event_4011","APOSTOLIC PROVISION 4011","1622-03-16","1622-07-11","https://g17.dhi-roma.it/resources/institution_277","Gerundensis","https://g17.dhi-roma.it/resources/institution_870","Tarragona","POINT (2.8166666666667 41.983333333333)","https://g17.dhi-roma.it/resources/place_268","Girona","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Without care of souls,Prior"
"https://g17.dhi-roma.it/resources/event_2395","APOSTOLIC PROVISION 2395","1622-08-16","1622-10-01","https://g17.dhi-roma.it/resources/institution_16","Acernensis","https://g17.dhi-roma.it/resources/institution_850","Salerno","POINT (15.05 40.75)","https://g17.dhi-roma.it/resources/place_12","Acerno","https://g17.dhi-roma.it/resources/place_578","Tusculum","POINT (12.710833333333 41.798333333333)","apostolic provision,papal grace,death of previous holder"
"https://g17.dhi-roma.it/resources/event_3735","APOSTOLIC PROVISION 3735","1678-05-16","1678-07-02","https://g17.dhi-roma.it/resources/institution_522","Sarnensis","https://g17.dhi-roma.it/resources/institution_850","Salerno","POINT (14.616666666667 40.816666666667)","https://g17.dhi-roma.it/resources/place_511","Sarno","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Canonship and prebend,church,Collegiate church"
"https://g17.dhi-roma.it/resources/event_1143","APOSTOLIC PROVISION 1143","1678-02-13","1678-09-15","https://g17.dhi-roma.it/resources/institution_328","Leodiensis","https://g17.dhi-roma.it/resources/institution_1006","Mechelen-Bruxelles","POINT (5.570555555555556 50.639722222222225)","https://g17.dhi-roma.it/resources/place_319","Liège","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","Resignation,apostolic provision,papal grace,Restitution,Holder of a benefice"
"https://g17.dhi-roma.it/resources/event_6764","APOSTOLIC PROVISION 6764","1678-01-16","1678-04-12","https://g17.dhi-roma.it/resources/institution_369","Mediolanensis","https://g17.dhi-roma.it/resources/institution_838","Milano","POINT (9.19 45.466944444444)","https://g17.dhi-roma.it/resources/place_361","Milan","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,Reservation of a pension,Lector,church"
"https://g17.dhi-roma.it/resources/event_5390","APOSTOLIC PROVISION 5390","1622-01-16","1622-03-17","https://g17.dhi-roma.it/resources/institution_258","Ferrariensis","https://g17.dhi-roma.it/resources/institution_841","Ravenna","POINT (11.619865 44.835297)","https://g17.dhi-roma.it/resources/place_249","Ferrara","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Rectorship"
"https://g17.dhi-roma.it/resources/event_3809","APOSTOLIC PROVISION 3809","1678-07-16","1678-09-16","https://g17.dhi-roma.it/resources/institution_277","Gerundensis","https://g17.dhi-roma.it/resources/institution_870","Tarragona","POINT (2.8166666666667 41.983333333333)","https://g17.dhi-roma.it/resources/place_268","Girona","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Pastor,Parish Church,church"
"https://g17.dhi-roma.it/resources/event_7305","APOSTOLIC PROVISION 7305","1676-06-28","1678-09-28","https://g17.dhi-roma.it/resources/institution_542","Squillacensis","https://g17.dhi-roma.it/resources/institution_855","Reggio-Calabria","POINT (16.516666666667 38.783333333333)","https://g17.dhi-roma.it/resources/place_530","Squillace","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,Referral to a higher authority,death of previous holder,Holder of a benefice"
"https://g17.dhi-roma.it/resources/event_6007","APOSTOLIC PROVISION 6007","1622-04-15","1622-07-05","https://g17.dhi-roma.it/resources/institution_140","Caesaraugustana","https://g17.dhi-roma.it/resources/institution_869","Zaragoza","POINT (-0.88333333333333 41.65)","https://g17.dhi-roma.it/resources/place_135","Zaragoza","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,church,Parish Church,Holder of a benefice"
"https://g17.dhi-roma.it/resources/event_7237","APOSTOLIC PROVISION 7237","1677-11-15","1678-08-30","https://g17.dhi-roma.it/resources/institution_470","Posnaniensis","https://g17.dhi-roma.it/resources/institution_803","Gniezno","POINT (27.468611111111 51.591944444444)","https://g17.dhi-roma.it/resources/place_460","Poznan","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Canonship and prebend,church"
