,diocese_11,diocese_11_label,event_lead_speed,time_delta,distance,distance_sum,time_delta_sum,event_count,distance_log,distance_sum_log,diocese_lead_speed
45,https://g17.dhi-roma.it/resources/institution_155,Capuana,0.4658491668964652,11.0,168.54997956809842,3033.8996322257717,913.0,18,5.127228984543382,92.29012172178086,0.4658491668964652
374,https://g17.dhi-roma.it/resources/institution_681,San Severino,0.46025756442633453,11.0,158.33479661564004,950.0087796938402,539.0,6,5.06470823202945,30.388249392176704,0.46025756442633453
377,https://g17.dhi-roma.it/resources/institution_687,Tudertin,0.41777662168808916,11.0,99.00066691974209,990.0066691974208,844.0,10,4.595125804917982,45.95125804917983,0.41777662168808916
274,https://g17.dhi-roma.it/resources/institution_500,Sabinensis,0.3789831543084348,11.0,64.33787402621479,450.36511818350357,411.0,7,4.1641210047929125,29.14884703355039,0.3789831543084348
106,https://g17.dhi-roma.it/resources/institution_251,Eugubina,0.23116422847661264,22.0,161.72903448574095,1779.0193793431504,313.0,11,5.085921830956495,55.945140140521445,0.23116422847661264
42,https://g17.dhi-roma.it/resources/institution_151,Campaniensis,0.21365936690391923,26.0,253.71085762249626,1268.5542881124813,168.0,5,5.535627194861085,27.678135974305427,0.21365936690391923
293,https://g17.dhi-roma.it/resources/institution_530,Senensis,0.19326966135727075,27.0,184.54110945143526,2399.0344228686586,1102.0,13,5.217872066149488,67.83233685994335,0.19326966135727075
416,https://g17.dhi-roma.it/resources/institution_999,Suessana,0.17685549626043542,28.0,141.30555438070337,1695.6666525684404,1051.4,12,4.950921939381675,59.4110632725801,0.17685549626043542
287,https://g17.dhi-roma.it/resources/institution_523,Sarsinatensis,0.17473492522336606,31.0,226.0510048442231,1130.2550242211155,207.0,5,5.420758470747285,27.103792353736424,0.17473492522336606
325,https://g17.dhi-roma.it/resources/institution_583,Troiana,0.17077769055175487,32.5,237.87168790756735,1427.2301274454042,188.0,6,5.471215918153142,32.82729550891885,0.17077769055175487
7,https://g17.dhi-roma.it/resources/institution_108,Bergomensis,0.16681311598171594,37.0,481.62608363144204,7224.39125447163,1478.0,15,6.17708769537201,92.65631543058015,0.16681311598171594
44,https://g17.dhi-roma.it/resources/institution_153,Camplensis,0.1619766021972051,32.5,135.01914949646886,1080.1531959717508,2150.8,8,4.905405157974789,39.24324126379831,0.1619766021972051
120,https://g17.dhi-roma.it/resources/institution_269,Fulginatensis,0.15788328289763376,30.5,121.6715129936625,973.3721039493,725.0,8,4.800794560025312,38.4063564802025,0.15788328289763376
336,https://g17.dhi-roma.it/resources/institution_598,Urbinatensis,0.15640474883753164,34.0,204.99027661800653,3279.8444258881045,1236.0,16,5.322822881659493,85.1651661065519,0.15640474883753164
113,https://g17.dhi-roma.it/resources/institution_261,Firmana,0.15542076260971288,33.5,172.8459014795374,6222.452453263346,1979.4,36,5.152394151608567,185.4861894579084,0.15542076260971288
280,https://g17.dhi-roma.it/resources/institution_509,Sancta Agathae Gothorum,0.15439321420356272,34.0,186.08214460837337,2046.9035906921072,2819.0,11,5.225176407317066,57.47694048048773,0.15439321420356272
83,https://g17.dhi-roma.it/resources/institution_212,Conversanensis,0.14610516119757228,41.0,399.5390905480612,1997.695452740306,332.0,5,5.990311609100464,29.951558045502317,0.14610516119757228
335,https://g17.dhi-roma.it/resources/institution_597,Urbevetana,0.14288777074248296,32.0,96.7590742734362,677.3135199140534,2929.0,7,4.5722241056783774,32.00556873974864,0.14288777074248296
350,https://g17.dhi-roma.it/resources/institution_625,Veronensis,0.140014390353455,43.0,412.1085054098081,19369.09975426098,3059.2,47,6.021271795857763,282.9997744053149,0.140014390353455
146,https://g17.dhi-roma.it/resources/institution_310,Juvenacensis,0.13992539873127566,42.0,357.42252414896456,4646.492813936539,2910.0,13,5.87891730931573,76.42592502110449,0.13992539873127566
