,diocese_id,diocese_name,average_combined_score,average_ratio_score,count_positive_score,total_events,unique_persons,likelihood
145,https://g17.dhi-roma.it/resources/institution_176,Cauriensis,0.4464285714285714,0.4880952380952381,6,12,1,significant
339,https://g17.dhi-roma.it/resources/institution_423,Nucerina,0.3449411764705882,0.3778823529411765,10,25,1,significant
194,https://g17.dhi-roma.it/resources/institution_236,Dolensis,0.33617424242424243,0.3996212121212121,9,22,1,significant
173,https://g17.dhi-roma.it/resources/institution_209,Conseranensis,0.2857142857142857,0.2857142857142857,2,7,1,significant
525,https://g17.dhi-roma.it/resources/institution_68,Arelatensis,0.2777777777777778,0.3333333333333333,3,9,1,significant
221,https://g17.dhi-roma.it/resources/institution_273,Gallipolitana,0.25,0.25,2,6,1,significant
162,https://g17.dhi-roma.it/resources/institution_197,Clusinensis,0.25,0.25,3,12,1,significant
282,https://g17.dhi-roma.it/resources/institution_356,Marianensis,0.24038461538461536,0.24038461538461536,2,8,1,significant
300,https://g17.dhi-roma.it/resources/institution_379,Miletensis,0.23905723905723905,0.2760942760942761,3,9,1,significant
279,https://g17.dhi-roma.it/resources/institution_352,Macleviensis,0.21428571428571427,0.2857142857142857,4,14,1,significant
213,https://g17.dhi-roma.it/resources/institution_264,Foroliviensis,0.20833333333333334,0.22916666666666669,4,16,1,significant
302,https://g17.dhi-roma.it/resources/institution_381,Mimatensis,0.20227038183694532,0.24664602683178535,10,38,1,significant
377,https://g17.dhi-roma.it/resources/institution_469,Portugallensis,0.20054945054945053,0.25824175824175827,4,14,1,significant
185,https://g17.dhi-roma.it/resources/institution_222,Cremensis,0.2,0.2,1,5,1,significant
56,https://g17.dhi-roma.it/resources/institution_1106,nullius seu sancti flori,0.2,0.2,1,5,1,significant
507,https://g17.dhi-roma.it/resources/institution_638,Vivariensis,0.19690992767915844,0.2695595003287311,4,13,1,significant
180,https://g17.dhi-roma.it/resources/institution_216,Corisopitensis,0.19675925925925927,0.22685185185185186,7,27,1,significant
564,https://g17.dhi-roma.it/resources/institution_81,Aturensis,0.1876750700280112,0.23529411764705882,5,21,1,significant
406,https://g17.dhi-roma.it/resources/institution_501,Sagiensis,0.18668503213957757,0.23213957759412304,8,33,1,significant
365,https://g17.dhi-roma.it/resources/institution_456,Pientina,0.1854636591478697,0.3709273182957394,6,14,1,significant
493,https://g17.dhi-roma.it/resources/institution_620,Venetensis,0.17753759398496244,0.24718045112781956,7,25,1,high
289,https://g17.dhi-roma.it/resources/institution_364,Matisconensis,0.15961472308221536,0.2081183350533196,8,34,1,high
417,https://g17.dhi-roma.it/resources/institution_517,Sancti Papuli,0.15,0.2,2,10,1,high
530,https://g17.dhi-roma.it/resources/institution_687,Tudertin,0.14008295625942682,0.28016591251885364,4,12,1,high
108,https://g17.dhi-roma.it/resources/institution_132,Brugnatensis,0.1393939393939394,0.2787878787878788,2,5,1,high
311,https://g17.dhi-roma.it/resources/institution_392,Montis Alti/Montisalti,0.13846153846153847,0.1769230769230769,2,10,1,high
211,https://g17.dhi-roma.it/resources/institution_262,Florentina,0.13818181818181818,0.27636363636363637,7,25,1,high
487,https://g17.dhi-roma.it/resources/institution_610,Vapincensis,0.13775510204081634,0.20408163265306123,3,14,1,high
403,https://g17.dhi-roma.it/resources/institution_499,Ruthenensis,0.13693810857676406,0.18143924236361214,13,63,1,high
551,https://g17.dhi-roma.it/resources/institution_714,Fanensis,0.13567251461988306,0.1824561403508772,2,9,1,high
271,https://g17.dhi-roma.it/resources/institution_344,Lucana,0.13493011621124423,0.22600058329968142,10,38,1,high
554,https://g17.dhi-roma.it/resources/institution_719,Imolensis,0.1341880341880342,0.2683760683760684,3,9,1,high
361,https://g17.dhi-roma.it/resources/institution_450,Pennensis,0.13414634146341464,0.2682926829268293,11,41,1,high
39,https://g17.dhi-roma.it/resources/institution_1089,castrensis provincia bituricensis,0.13390313390313388,0.13390313390313388,3,21,1,high
172,https://g17.dhi-roma.it/resources/institution_208,Consanensis,0.1322314049586777,0.2644628099173554,3,11,1,high
436,https://g17.dhi-roma.it/resources/institution_542,Squillacensis,0.12962962962962965,0.1851851851851852,2,9,1,high
544,https://g17.dhi-roma.it/resources/institution_705,Montis Pelusii,0.1294979530273648,0.16375781081663435,4,21,1,high
391,https://g17.dhi-roma.it/resources/institution_486,Regiensis,0.12867647058823528,0.1661764705882353,4,20,1,high
440,https://g17.dhi-roma.it/resources/institution_55,Aniciensis,0.12724014336917563,0.15770609318996417,5,31,1,high
249,https://g17.dhi-roma.it/resources/institution_317,Lascurensis,0.12626262626262627,0.16161616161616163,2,11,1,high
456,https://g17.dhi-roma.it/resources/institution_57,Appamiensis / Appamiarum,0.12603174603174602,0.1898412698412698,3,15,1,high
438,https://g17.dhi-roma.it/resources/institution_548,Sulmonensis,0.12525252525252528,0.1696969696969697,2,9,1,high
454,https://g17.dhi-roma.it/resources/institution_566,Tirasonensis,0.125,0.16666666666666666,2,12,1,high
128,https://g17.dhi-roma.it/resources/institution_153,Camplensis,0.125,0.25,2,8,1,high
193,https://g17.dhi-roma.it/resources/institution_235,Diensis,0.12244897959183675,0.12244897959183675,1,7,1,high
397,https://g17.dhi-roma.it/resources/institution_493,Rossanensis,0.1211764705882353,0.2423529411764706,3,10,1,high
306,https://g17.dhi-roma.it/resources/institution_386,Mirapicensis,0.12,0.12,1,8,1,high
126,https://g17.dhi-roma.it/resources/institution_151,Campaniensis,0.11929824561403508,0.23859649122807017,2,7,1,high
420,https://g17.dhi-roma.it/resources/institution_521,Sarlatensis,0.11385569852941177,0.14315257352941177,5,32,1,typical
