,event_id,person1_id,person2_id,person1_span_text,person2_span_text,extracted_name1,extracted_name2,person1_role,person2_role,ratio_score,diocese_id,diocese_name,type_labels,date,confidence,combined_score,name_frequency,likelihood
1568,https://g17.dhi-roma.it/resources/event_8798,,,Mathurini etiam Dupin,Ludovicus Dupin,Dupin,Dupin,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_50,Andegavensis,"apostolic provision,papal grace",1677-12-12,1.0,1.0,95,significant
5762,https://g17.dhi-roma.it/resources/event_8279,,,Stephani etiam comendatarii du Flocquet,Franciscus du Flocquet,Flocquet,Flocquet,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_192,Claromontensis,"Placing a commenda,apostolic provision,papal grace,death of previous holder,Prior,Order of Saint Anthony",1677-10-23,1.0,1.0,62,significant
2557,https://g17.dhi-roma.it/resources/event_149,,,Alexius Oliverii,Jois Baptistae etiam Oliverii,Oliverii,Oliverii,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_423,Nucerina,"Resignation,apostolic provision,papal grace,church,Major church,Holder of a benefice",1678-09-02,1.0,1.0,107,significant
5790,https://g17.dhi-roma.it/resources/event_2658,,,Francisci etiam Garnier,Joannes Garnier,Garnier,Garnier,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_589,Turonensis,"Placing a commenda,apostolic provision,papal grace,Prior,Order of Saint Benedict",1678-07-08,1.0,1.0,241,significant
5775,https://g17.dhi-roma.it/resources/event_4192,,,Joannis Munoz de Aguilar Senioris,Joannes Munoz de Aguilar Junior,Aguilar,Aguilar,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_324,Legionensis,"Resignation,apostolic provision,papal grace,Canonship and prebend,church",1623-02-07,1.0,1.0,130,significant
1952,https://g17.dhi-roma.it/resources/event_1661,,,Julii Cesarii ets de la Granger,Carolus de la Granger Junior,Granger,Granger,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_348,Lucionensis,"Placing a commenda,apostolic provision,papal grace,Prior,Order of Saint Benedict,Priory",1677-10-08,1.0,1.0,127,significant
6531,https://g17.dhi-roma.it/resources/event_801,,,Joannis Baptistae etiam Accame,Joannes Baptistae Accame,Accame,Accame,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_35,Albinganensis,"Resignation,apostolic provision,papal grace,Rectorship,Parish Church,church",1678-07-16,1.0,1.0,37,significant
4304,https://g17.dhi-roma.it/resources/event_8445,,,Marie etiam de la Salle,Magdalena de la Salle,Salle,Salle,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_81,Aturensis,"apostolic provision,papal grace,Abbot",1677-11-07,1.0,1.0,221,significant
2396,https://g17.dhi-roma.it/resources/event_3794,,,Hiacynthi etiam Torrent,Joannes Franciscus Torrent,Torrent,Torrent,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_277,Gerundensis,"deceased in Rome,apostolic provision,papal grace,death of previous holder,Holder of a benefice",1677-10-27,1.0,1.0,98,significant
4391,https://g17.dhi-roma.it/resources/event_8315,,,Carolu etiam Depons,Petrus Depons,Depons,Depons,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_1106,nullius seu sancti flori,"apostolic provision,papal grace,church,Parish and collegiate church,Canonship and prebend",1677-10-30,1.0,1.0,68,significant
5361,https://g17.dhi-roma.it/resources/event_9054,,,Jois etiam Chimbault,Jacobus Chimbault,Chimbault,Chimbault,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_589,Turonensis,"apostolic provision,papal grace,Receiver of an additional payment,Pastor",1677-12-26,1.0,1.0,48,significant
1500,https://g17.dhi-roma.it/resources/event_2977,,,Ioannis etiam Brebion,Georgius Brebion,Brebion,Brebion,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_495,Rothomagensis,"apostolic provision,papal grace,Rectorship",1678-03-04,1.0,1.0,120,significant
3077,https://g17.dhi-roma.it/resources/event_148,,,Jois Baptistae etiam Oliverii,Alexius Oliverii,Oliverii,Oliverii,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_423,Nucerina,"Resignation,apostolic provision,papal grace,Holder of a benefice",1678-09-02,1.0,1.0,107,significant
4366,https://g17.dhi-roma.it/resources/event_8378,,,Modernus Mayssent,Gasparis etiam Mayssent,Mayssent,Mayssent,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_491,Rivensis,"apostolic provision,papal grace",1677-11-07,1.0,1.0,64,significant
4369,https://g17.dhi-roma.it/resources/event_9231,,,Jacobus Andry,Claudii etiam Andry,Andry,Andry,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_487,Remensis,"apostolic provision,papal grace",1678-01-08,1.0,1.0,108,significant
1939,https://g17.dhi-roma.it/resources/event_4190,,,Michaelis etiam Sanchez Senioris,Michael Sanchez,Sanchez,Sanchez,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_441,Pampilonensis,"Resignation,apostolic provision,papal grace,church,Holder of a benefice",1622-12-03,1.0,1.0,84,significant
