,event_id,person1_id,person2_id,person1_span_text,person2_span_text,extracted_name1,extracted_name2,person1_role,person2_role,ratio_score,diocese_id,diocese_name,type_labels,date,confidence,combined_score,name_frequency,likelihood
0,https://g17.dhi-roma.it/resources/event_20119,https://g17.dhi-roma.it/raw/element_244494,https://g17.dhi-roma.it/raw/element_244501,Maurus de Pinto,Joannis etiam de Pinto,Pinto,Pinto,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_373,Melphitensis,"act of grace,apostolic provision,papal grace,Public resignation,Heir,Undefined administrative office,Administrative office",1622-12-23,1.0,1.0,332,significant
13842,https://g17.dhi-roma.it/resources/event_15917,https://g17.dhi-roma.it/raw/element_201146,https://g17.dhi-roma.it/raw/element_201141,Petri etiam Bunouf,Damianus Bunouf,Bunouf,Bunouf,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_94,Baiocensis,"act of grace,apostolic provision,papal grace,rectorship in a parish church,Liturgical office",1678-08-04,1.0,1.0,64,significant
14127,https://g17.dhi-roma.it/resources/event_19886,https://g17.dhi-roma.it/raw/element_241361,https://g17.dhi-roma.it/raw/element_241368,Julianus de Cancellariis,Federici etiam de Cancellariis,Cancellariis,Cancellariis,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_369,Mediolanensis,"act of grace,apostolic provision,papal grace,Public resignation,church,Church institutions",1622-10-31,1.0,1.0,340,significant
14056,https://g17.dhi-roma.it/resources/event_19139,https://g17.dhi-roma.it/raw/element_233828,https://g17.dhi-roma.it/raw/element_259923,Thomas de Januario,Marci etiam de Januario,Januario,Januario,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_628,Vico Aequensis,"act of grace,apostolic provision,papal grace,Public resignation,chapel and chaplaincy,Liturgical office,Church institutions,Major church",1622-06-09,1.0,1.0,89,significant
14055,https://g17.dhi-roma.it/resources/event_12760,https://g17.dhi-roma.it/raw/element_173371,https://g17.dhi-roma.it/raw/element_173362,Michaelis etiam de Reilhac,Josephus de Reilhac,Reilhac,Reilhac,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_1089,castrensis provincia bituricensis,"Placing a commenda,act of grace,apostolic provision,papal grace,rectorship of a prior,Office in a monastery,Order of Saint Benedict,Orders of the monastic tradition,With care of souls",1678-04-23,1.0,1.0,71,significant
14011,https://g17.dhi-roma.it/resources/event_4225,https://g17.dhi-roma.it/raw/element_74857,https://g17.dhi-roma.it/raw/element_74849,Philippi Emanuelis de Ligniville Senioris,Philippus Emanuel de Ligniville Junior,Ligniville,Ligniville,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_587,Tullensis,"Placing a commenda,act of grace,apostolic provision,papal grace,Administrative reason,cession,rectorship of a prior,Office in a monastery,Order of Saint Benedict,Orders of the monastic tradition",1622-05-12,1.0,1.0,70,significant
13993,https://g17.dhi-roma.it/resources/event_20076,https://g17.dhi-roma.it/raw/element_244040,https://g17.dhi-roma.it/raw/element_244045,Joannes Adolphus Hauxeler,Hermanni etiam Hauxeler,Hauxeler,Hauxeler,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_328,Leodiensis,"act of grace,apostolic provision,papal grace,Public resignation,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions",1622-12-10,1.0,1.0,101,significant
13986,https://g17.dhi-roma.it/resources/event_3891,https://g17.dhi-roma.it/raw/element_66130,https://g17.dhi-roma.it/raw/element_66136,Petrus Ioannes Perandera,Philippi etiam Perandera,Perandera,Perandera,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_298,Illerdensis,"act of grace,apostolic provision,papal grace,Cancellation of a pension,chapel and chaplaincy,Liturgical office,church,Church institutions",1622-03-15,1.0,1.0,398,significant
13980,https://g17.dhi-roma.it/resources/event_22352,https://g17.dhi-roma.it/raw/element_265863,https://g17.dhi-roma.it/raw/element_265856,Jacobi etiam Delsart,Egidius Delsart,Delsart,Delsart,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_328,Leodiensis,"act of grace,apostolic provision,papal grace,Public resignation,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",1678-03-24,1.0,1.0,115,significant
13917,https://g17.dhi-roma.it/resources/event_23961,https://g17.dhi-roma.it/raw/element_277494,https://g17.dhi-roma.it/raw/element_277491,Ludovicus seu Aloysium etiam Guarinonus,Joannes Aloysius Guarinonus,Guarinonus,Guarinonus,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_223,Cremonensis,"act of grace,apostolic provision,papal grace,death of previous holder,Personal reason,church,Church institutions,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",1622-12-30,1.0,1.0,415,significant
13882,https://g17.dhi-roma.it/resources/event_17624,https://g17.dhi-roma.it/raw/element_220505,https://g17.dhi-roma.it/raw/element_220513,Anthonius Dionisius de Cohon,Julii Pauli etiam de Cohon,Cohon,Cohon,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_532,Senonensis,"Placing a commenda,act of grace,apostolic provision,papal grace,Administrative reason,cession,rectorship of a prior,Office in a monastery,Order of Saint Benedict,Orders of the monastic tradition",1678-07-15,1.0,1.0,265,significant
13812,https://g17.dhi-roma.it/resources/event_17650,https://g17.dhi-roma.it/raw/element_220748,https://g17.dhi-roma.it/raw/element_220741,Francisce etiam de Creguy,Catharina Seraphina de Creguy,Creguy,Creguy,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_241,Eburovicensis,"act of grace,apostolic provision,papal grace,Monastery,Monastic institutions,Order of Saint Benedict,Orders of the monastic tradition,Office in a monastery,Head of an abbey",1678-07-22,1.0,1.0,78,significant
14157,https://g17.dhi-roma.it/resources/event_21336,https://g17.dhi-roma.it/raw/element_255007,https://g17.dhi-roma.it/raw/element_255013,Michael Meseda y Aguiar,Francisci Lopez etiam de Aguiar,Aguiar,Aguiar,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_435,Ovetensis,"act of grace,apostolic provision,papal grace,Public resignation,rectorship in a parish church,Liturgical office",1678-04-29,1.0,1.0,318,significant
13809,https://g17.dhi-roma.it/resources/event_3815,https://g17.dhi-roma.it/raw/element_68545,https://g17.dhi-roma.it/raw/element_68551,Franciscus de Rocaberti,Jois etiam Rocaberti,Rocaberti,Rocaberti,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_246,Elnensis,"act of grace,apostolic provision,papal grace,death of previous holder,Personal reason,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",1678-06-16,1.0,1.0,293,significant
13803,https://g17.dhi-roma.it/resources/event_25158,https://g17.dhi-roma.it/raw/element_291836,https://g17.dhi-roma.it/raw/element_291842,Ioannes Monton,Barthei Giraldi etiam Monton,Monton,Monton,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_279,Giennensis,"act of grace,apostolic provision,papal grace,Public resignation,Parish Church,Church institutions,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",1623-01-21,1.0,1.0,466,significant
